"","zip","region"
"1005",17004,"East"
"1006",17005,"East"
"1007",17006,"East"
"1008",17007,"East"
"1009",17008,"East"
"1010",17009,"East"
"1011",17010,"East"
"1012",17011,"East"
"1013",17012,"East"
"1014",17013,"East"
"1015",17014,"East"
"1016",17015,"East"
"1017",17016,"East"
"1018",17017,"East"
"1019",17018,"East"
"1020",17019,"East"
"1021",17020,"East"
"1022",17021,"East"
"1023",17022,"East"
"1024",17023,"East"
"1025",17024,"East"
"1026",17025,"East"
"1027",17026,"East"
"1028",17027,"East"
"1029",17028,"East"
"1030",17029,"East"
"1031",17030,"East"
"1032",17031,"East"
"1033",17032,"East"
"1034",17033,"East"
"1035",17034,"East"
"1036",17035,"East"
"1037",17036,"East"
"1038",17037,"East"
"1039",17038,"East"
"1040",17039,"East"
"1041",17040,"East"
"1042",17041,"East"
"1043",17042,"East"
"1044",17043,"East"
"1045",17044,"East"
"1046",17045,"East"
"1047",17046,"East"
"1048",17047,"East"
"1049",17048,"East"
"1050",17049,"East"
"1051",17050,"East"
"1052",17051,"East"
"1053",17052,"East"
"1054",17053,"East"
"1055",17054,"East"
"1056",17055,"East"
"1057",17056,"East"
"1058",17057,"East"
"1059",17058,"East"
"1060",17059,"East"
"1061",17060,"East"
"1062",17061,"East"
"1063",17062,"East"
"1064",17063,"East"
"1065",17064,"East"
"1066",17065,"East"
"1067",17066,"East"
"1068",17067,"East"
"1069",17068,"East"
"1070",17069,"East"
"1071",17070,"East"
"1072",17071,"East"
"1073",17072,"East"
"1074",17073,"East"
"1075",17074,"East"
"1076",17075,"East"
"1077",17076,"East"
"1078",17077,"East"
"1079",17078,"East"
"1080",17079,"East"
"1081",17080,"East"
"1082",17081,"East"
"1083",17082,"East"
"1084",17083,"East"
"1085",17084,"East"
"1086",17085,"East"
"1087",17086,"East"
"1088",17087,"East"
"1089",17088,"East"
"1090",17089,"East"
"1091",17090,"East"
"1092",17091,"East"
"1093",17092,"East"
"1094",17093,"East"
"1095",17094,"East"
"1096",17095,"East"
"1097",17096,"East"
"1098",17097,"East"
"1099",17098,"East"
"1100",17099,"East"
"1101",17100,"East"
"1102",17101,"East"
"1103",17102,"East"
"1104",17103,"East"
"1105",17104,"East"
"1106",17105,"East"
"1107",17106,"East"
"1108",17107,"East"
"1109",17108,"East"
"1110",17109,"East"
"1111",17110,"East"
"1112",17111,"East"
"1113",17112,"East"
"1114",17113,"East"
"1115",17114,"East"
"1116",17115,"East"
"1117",17116,"East"
"1118",17117,"East"
"1119",17118,"East"
"1120",17119,"East"
"1121",17120,"East"
"1122",17121,"East"
"1123",17122,"East"
"1124",17123,"East"
"1125",17124,"East"
"1126",17125,"East"
"1127",17126,"East"
"1128",17127,"East"
"1129",17128,"East"
"1130",17129,"East"
"1131",17130,"East"
"1132",17131,"East"
"1133",17132,"East"
"1134",17133,"East"
"1135",17134,"East"
"1136",17135,"East"
"1137",17136,"East"
"1138",17137,"East"
"1139",17138,"East"
"1140",17139,"East"
"1141",17140,"East"
"1142",17141,"East"
"1143",17142,"East"
"1144",17143,"East"
"1145",17144,"East"
"1146",17145,"East"
"1147",17146,"East"
"1148",17147,"East"
"1149",17148,"East"
"1150",17149,"East"
"1151",17150,"East"
"1152",17151,"East"
"1153",17152,"East"
"1154",17153,"East"
"1155",17154,"East"
"1156",17155,"East"
"1157",17156,"East"
"1158",17157,"East"
"1159",17158,"East"
"1160",17159,"East"
"1161",17160,"East"
"1162",17161,"East"
"1163",17162,"East"
"1164",17163,"East"
"1165",17164,"East"
"1166",17165,"East"
"1167",17166,"East"
"1168",17167,"East"
"1169",17168,"East"
"1170",17169,"East"
"1171",17170,"East"
"1172",17171,"East"
"1173",17172,"East"
"1174",17173,"East"
"1175",17174,"East"
"1176",17175,"East"
