"Postal.code","Region","Rural.urban"
26207,"North","District"
26204,"North","District"
26205,"North","District"
26203,"North","District"
26202,"North","District"
26243,"North","District"
26242,"North","District"
26244,"North","District"
26211,"North","District"
26212,"North","District"
26213,"North","District"
26315,"North","Town"
26333,"North","Town"
26314,"North","Town"
26334,"North","Town"
26448,"North","Town"
26443,"North","Town"
26444,"North","Town"
26446,"North","Town"
26442,"North","Town"
26457,"North","Town"
26445,"North","Town"
26505,"North","Town"
26471,"North","Town"
26470,"North","Town"
26472,"North","Town"
26468,"North","Town"
26469,"North","Town"
26453,"North","Town"
26473,"North","Town"
26500,"North","Town"
26496,"North","Town"
26501,"North","Town"
26502,"North","Town"
26503,"North","Town"
26437,"North","Town"
26436,"North","Town"
26411,"North","Town"
26410,"North","Town"
26420,"North","Town"
26382,"North","Town"
26419,"North","Town"
26409,"North","Town"
26421,"North","Town"
26380,"North","Town"
26407,"North","Town"
26424,"North","Town"
26434,"North","Town"
26408,"North","Town"
26423,"North","Town"
26378,"North","Town"
26435,"North","Town"
26406,"North","Town"
26474,"North","Town"
26476,"North","Town"
26422,"North","Town"
26475,"North","Town"
26413,"North","Town"
26349,"North","Town"
26418,"North","Town"
26381,"North","Town"
26379,"North","Town"
26479,"North","Town"
26375,"North","Town"
26383,"North","Town"
26400,"North","Town"
26483,"North","Town"
26451,"North","Town"
26450,"North","Town"
26452,"North","Town"
26490,"North","Town"
26449,"North","Town"
26486,"North","Town"
26487,"North","Town"
26485,"North","Town"
26484,"North","Town"
26491,"North","Town"
26489,"North","Town"
26488,"North","Town"
26481,"North","Town"
26447,"North","Town"
26441,"North","Town"
26482,"North","Town"
26438,"North","Town"
26440,"North","Town"
26439,"North","Town"
26480,"North","Town"
26432,"North","Town"
26399,"North","Town"
26392,"North","Town"
26478,"North","Town"
26394,"North","Town"
26398,"North","Town"
26396,"North","Town"
26385,"North","Town"
26395,"North","Town"
26397,"North","Town"
26387,"North","Town"
26477,"North","Town"
26393,"North","Town"
26386,"North","Town"
26391,"North","Town"
26388,"North","Town"
26389,"North","Town"
26390,"North","Town"
26384,"North","Town"
26372,"North","Town"
26369,"North","Town"
26370,"North","Town"
26368,"North","Town"
26371,"North","Town"
26361,"North","Town"
26367,"North","Town"
26365,"North","Town"
26364,"North","Town"
26363,"North","Town"
26366,"North","Town"
26373,"North","Town"
26362,"North","Town"
26360,"North","Town"
26374,"North","Town"
26495,"North","Town"
26460,"North","Town"
26464,"North","Town"
26462,"North","Town"
26465,"North","Town"
26466,"North","Town"
26463,"North","Town"
26467,"North","Town"
26461,"North","Town"
26459,"North","Town"
26458,"North","Town"
26456,"North","Town"
26455,"North","Town"
26330,"North","Town"
26331,"North","Town"
26327,"North","Town"
26329,"North","Town"
26328,"North","Town"
26454,"North","Town"
26497,"North","Town"
26499,"North","Town"
26498,"North","Town"
26304,"North","Town"
26308,"North","Town"
26309,"North","Town"
26305,"North","Town"
26310,"North","Town"
26306,"North","Town"
26307,"North","Town"
26311,"North","Town"
26506,"North","Town"
26507,"North","Town"
26508,"North","Town"
26338,"North","Town"
26344,"North","Town"
26345,"North","Town"
26335,"North","Town"
26337,"North","Town"
26341,"North","Town"
26342,"North","Town"
26336,"North","Town"
26343,"North","Town"
26405,"North","Town"
26340,"North","Town"
26339,"North","Town"
26433,"North","Town"
26431,"North","Town"
26429,"North","Town"
26417,"North","Town"
26427,"North","Town"
26425,"North","Town"
26426,"North","Town"
26415,"North","Town"
26428,"North","Town"
26355,"North","Town"
26346,"North","Town"
26352,"North","Town"
26353,"North","Town"
26354,"North","Town"
26359,"North","Town"
26356,"North","Town"
26348,"North","Town"
26351,"North","Town"
26301,"North","Town"
26350,"North","Town"
26347,"North","Town"
26358,"North","Town"
26357,"North","Town"
26326,"North","Town"
26322,"North","Town"
26318,"North","Town"
26312,"North","Town"
26323,"North","Town"
26316,"North","Town"
26320,"North","Town"
26321,"North","Town"
26325,"North","Town"
26324,"North","Town"
26313,"North","Town"
26317,"North","Town"
26319,"North","Town"
26509,"North","Town"
26504,"North","Town"
26402,"North","Town"
26401,"North","Town"
26430,"North","Town"
26414,"North","Town"
26412,"North","Town"
26416,"North","Town"
26332,"North","Town"
26302,"North","Town"
26377,"North","Town"
26376,"North","Town"
26300,"North","Town"
26303,"North","Town"
26492,"North","Town"
26494,"North","Town"
26493,"North","Town"
26403,"North","Town"
26404,"North","Town"
24656,"North","District"
24654,"North","District"
24655,"North","District"
24663,"North","District"
24653,"North","District"
24662,"North","District"
24657,"North","District"
24661,"North","District"
24660,"North","District"
24659,"North","District"
24658,"North","District"
24652,"North","District"
24645,"North","District"
24668,"North","District"
24646,"North","District"
24647,"North","District"
24649,"North","District"
24650,"North","District"
24648,"North","District"
24651,"North","District"
24606,"North","District"
24605,"North","District"
24613,"North","District"
24619,"North","District"
24614,"North","District"
24620,"North","District"
24612,"North","District"
24616,"North","District"
24615,"North","District"
24617,"North","District"
24621,"North","District"
24622,"North","District"
24618,"North","District"
24608,"North","District"
24609,"North","District"
24611,"North","District"
24610,"North","District"
24607,"North","District"
24664,"North","District"
24666,"North","District"
24665,"North","District"
24600,"North","District"
24604,"North","District"
24601,"North","District"
24603,"North","District"
24667,"North","District"
24602,"North","District"
24643,"North","District"
24623,"North","District"
24640,"North","District"
24644,"North","District"
24625,"North","District"
24624,"North","District"
24633,"North","District"
24638,"North","District"
24627,"North","District"
24641,"North","District"
24634,"North","District"
24636,"North","District"
24631,"North","District"
24635,"North","District"
24632,"North","District"
24630,"North","District"
24637,"North","District"
24639,"North","District"
24642,"North","District"
24628,"North","District"
24626,"North","District"
24629,"North","District"
26155,"North","District"
26156,"North","District"
26157,"North","District"
26154,"North","District"
26143,"North","District"
26146,"North","District"
26147,"North","District"
26148,"North","District"
26145,"North","District"
26144,"North","District"
26100,"North","District"
26103,"North","District"
26101,"North","District"
26102,"North","District"
26150,"North","District"
26153,"North","District"
26152,"North","District"
26151,"North","District"
26149,"North","District"
26138,"North","District"
26136,"North","District"
26140,"North","District"
26139,"North","District"
26142,"North","District"
26137,"North","District"
26134,"North","District"
26141,"North","District"
26108,"North","District"
26104,"North","District"
26109,"North","District"
26105,"North","District"
26107,"North","District"
26106,"North","District"
26112,"North","District"
26113,"North","District"
26114,"North","District"
26110,"North","District"
26111,"North","District"
26133,"North","District"
26121,"North","District"
26124,"North","District"
26123,"North","District"
26130,"North","District"
26120,"North","District"
26127,"North","District"
26122,"North","District"
26129,"North","District"
26131,"North","District"
26128,"North","District"
26126,"North","District"
26132,"North","District"
26135,"North","District"
26125,"North","District"
26119,"North","District"
26117,"North","District"
26118,"North","District"
26115,"North","District"
26116,"North","District"
24046,"North","District"
24032,"North","District"
24034,"North","District"
24036,"North","District"
24037,"North","District"
24051,"North","District"
24035,"North","District"
24028,"North","District"
24031,"North","District"
24030,"North","District"
24033,"North","District"
24023,"North","District"
24039,"North","District"
24041,"North","District"
24048,"North","District"
24047,"North","District"
24042,"North","District"
24038,"North","District"
24049,"North","District"
24050,"North","District"
24040,"North","District"
24009,"North","District"
24029,"North","District"
24043,"North","District"
24045,"North","District"
24044,"North","District"
24054,"North","District"
24063,"North","District"
24064,"North","District"
24065,"North","District"
24052,"North","District"
24053,"North","District"
24055,"North","District"
24010,"North","District"
24001,"North","District"
24027,"North","District"
24026,"North","District"
24003,"North","District"
24024,"North","District"
24025,"North","District"
24016,"North","District"
24018,"North","District"
24014,"North","District"
24019,"North","District"
24021,"North","District"
24013,"North","District"
24022,"North","District"
24020,"North","District"
24017,"North","District"
24015,"North","District"
24011,"North","District"
24012,"North","District"
24059,"North","District"
24061,"North","District"
24058,"North","District"
24057,"North","District"
24056,"North","District"
24060,"North","District"
24062,"North","District"
24000,"North","District"
24002,"North","District"
24005,"North","District"
24008,"North","District"
24006,"North","District"
24004,"North","District"
24007,"North","District"
24262,"North","Town"
24259,"North","Town"
24261,"North","Town"
24264,"North","Town"
24263,"North","Town"
24253,"North","Town"
24258,"North","Town"
24242,"North","Town"
24275,"North","Town"
24360,"North","Town"
24241,"North","Town"
24244,"North","Town"
24246,"North","Town"
24245,"North","Town"
24238,"North","Town"
24276,"North","Town"
24359,"North","Town"
24243,"North","Town"
24428,"North","Town"
24239,"North","Town"
24361,"North","Town"
24272,"North","Town"
24274,"North","Town"
24273,"North","Town"
24468,"North","Town"
24469,"North","Town"
24465,"North","Town"
24464,"North","Town"
24466,"North","Town"
24467,"North","Town"
24399,"North","Town"
24398,"North","Town"
24400,"North","Town"
24402,"North","Town"
24401,"North","Town"
24405,"North","Town"
24404,"North","Town"
24403,"North","Town"
24407,"North","Town"
24408,"North","Town"
24406,"North","Town"
24212,"North","Town"
24211,"North","Town"
24216,"North","Town"
24214,"North","Town"
24217,"North","Town"
24213,"North","Town"
24215,"North","Town"
24218,"North","Town"
24315,"North","Town"
24210,"North","Town"
24233,"North","Town"
24209,"North","Town"
24232,"North","Town"
24296,"North","Town"
24409,"North","Town"
24410,"North","Town"
24265,"North","Town"
24269,"North","Town"
24249,"North","Town"
24266,"North","Town"
24208,"North","Town"
24470,"North","Town"
24471,"North","Town"
24207,"North","Town"
24219,"North","Town"
24222,"North","Town"
24235,"North","Town"
24224,"North","Town"
24226,"North","Town"
24223,"North","Town"
24221,"North","Town"
24201,"North","Town"
24200,"North","Town"
24431,"North","Town"
24430,"North","Town"
24472,"North","Town"
24461,"North","Town"
24460,"North","Town"
24463,"North","Town"
24462,"North","Town"
24394,"North","Town"
24327,"North","Town"
24324,"North","Town"
24417,"North","Town"
24323,"North","Town"
24397,"North","Town"
24395,"North","Town"
24345,"North","Town"
24416,"North","Town"
24386,"North","Town"
24378,"North","Town"
24387,"North","Town"
24388,"North","Town"
24326,"North","Town"
24389,"North","Town"
24415,"North","Town"
24382,"North","Town"
24383,"North","Town"
24320,"North","Town"
24385,"North","Town"
24384,"North","Town"
24381,"North","Town"
24414,"North","Town"
24390,"North","Town"
24413,"North","Town"
24393,"North","Town"
24391,"North","Town"
24396,"North","Town"
24392,"North","Town"
24322,"North","Town"
24316,"North","Town"
24328,"North","Town"
24317,"North","Town"
24318,"North","Town"
24321,"North","Town"
24325,"North","Town"
24319,"North","Town"
24248,"North","Town"
24247,"North","Town"
24268,"North","Town"
24267,"North","Town"
24271,"North","Town"
24411,"North","Town"
24412,"North","Town"
24203,"North","Town"
24202,"North","Town"
24205,"North","Town"
24206,"North","Town"
24204,"North","Town"
24357,"North","Town"
24358,"North","Town"
24355,"North","Town"
24362,"North","Town"
24356,"North","Town"
24346,"North","Town"
24347,"North","Town"
24252,"North","Town"
24364,"North","Town"
24435,"North","Town"
24433,"North","Town"
24363,"North","Town"
24429,"North","Town"
24434,"North","Town"
24439,"North","Town"
24440,"North","Town"
24436,"North","Town"
24455,"North","Town"
24438,"North","Town"
24437,"North","Town"
24270,"North","Town"
24229,"North","Town"
24220,"North","Town"
24228,"North","Town"
24231,"North","Town"
24227,"North","Town"
24237,"North","Town"
24236,"North","Town"
24230,"North","Town"
24225,"North","Town"
24335,"North","Town"
24351,"North","Town"
24350,"North","Town"
24349,"North","Town"
24352,"North","Town"
24353,"North","Town"
24260,"North","Town"
24329,"North","Town"
24348,"North","Town"
24354,"North","Town"
24240,"North","Town"
24456,"North","Town"
24459,"North","Town"
24457,"North","Town"
24458,"North","Town"
24419,"North","Town"
24427,"North","Town"
24441,"North","Town"
24379,"North","Town"
24420,"North","Town"
24426,"North","Town"
24418,"North","Town"
24425,"North","Town"
24424,"North","Town"
24449,"North","Town"
24369,"North","Town"
24448,"North","Town"
24447,"North","Town"
24452,"North","Town"
24370,"North","Town"
24454,"North","Town"
24421,"North","Town"
24453,"North","Town"
24423,"North","Town"
24446,"North","Town"
24377,"North","Town"
24422,"North","Town"
24367,"North","Town"
24432,"North","Town"
24451,"North","Town"
24442,"North","Town"
24445,"North","Town"
24376,"North","Town"
24450,"North","Town"
24368,"North","Town"
24380,"North","Town"
24443,"North","Town"
24375,"North","Town"
24336,"North","Town"
24331,"North","Town"
24340,"North","Town"
24341,"North","Town"
24292,"North","Town"
24366,"North","Town"
24343,"North","Town"
24294,"North","Town"
24293,"North","Town"
24338,"North","Town"
24342,"North","Town"
24339,"North","Town"
24374,"North","Town"
24295,"North","Town"
24290,"North","Town"
24334,"North","Town"
24288,"North","Town"
24365,"North","Town"
24330,"North","Town"
24371,"North","Town"
24332,"North","Town"
24289,"North","Town"
24333,"North","Town"
24372,"North","Town"
24337,"North","Town"
24373,"North","Town"
24257,"North","Town"
24287,"North","Town"
24344,"North","Town"
24281,"North","Town"
24297,"North","Town"
24251,"North","Town"
24299,"North","Town"
24311,"North","Town"
24309,"North","Town"
24302,"North","Town"
24310,"North","Town"
24280,"North","Town"
24291,"North","Town"
24254,"North","Town"
24303,"North","Town"
24255,"North","Town"
