"zip","region"
30078,"North China"
30079,"North China"
30080,"North China"
30081,"North China"
30082,"North China"
30083,"North China"
30084,"North China"
30085,"North China"
30086,"North China"
30087,"North China"
30088,"North China"
30089,"North China"
30090,"North China"
30091,"North China"
30092,"North China"
30093,"North China"
30094,"North China"
30095,"North China"
30096,"North China"
30097,"North China"
30098,"North China"
30099,"North China"
30100,"North China"
30101,"North China"
30102,"North China"
30103,"North China"
30104,"North China"
30105,"North China"
30106,"North China"
30107,"North China"
30108,"North China"
30109,"North China"
30110,"North China"
30111,"North China"
30112,"North China"
30113,"North China"
30114,"North China"
30115,"North China"
30116,"North China"
30117,"North China"
30118,"North China"
30119,"North China"
30120,"North China"
30121,"North China"
30122,"North China"
30123,"North China"
30124,"North China"
30125,"North China"
30126,"North China"
30127,"North China"
30128,"North China"
30129,"North China"
30130,"North China"
30131,"North China"
30132,"North China"
30133,"North China"
30134,"North China"
30135,"North China"
30136,"North China"
30137,"North China"
30138,"North China"
30139,"North China"
30140,"North China"
30141,"North China"
30142,"North China"
30143,"North China"
30144,"North China"
30145,"North China"
30146,"North China"
30147,"North China"
30148,"North China"
30149,"North China"
30150,"North China"
30151,"North China"
30152,"North China"
30153,"North China"
30154,"North China"
30155,"North China"
30156,"North China"
30157,"North China"
30158,"North China"
30159,"North China"
30160,"North China"
30161,"North China"
30162,"North China"
30163,"North China"
30164,"North China"
30165,"North China"
30166,"North China"
30167,"North China"
30168,"North China"
30169,"North China"
30170,"North China"
30171,"North China"
30172,"North China"
30173,"North China"
30174,"North China"
30175,"North China"
30176,"North China"
30177,"North China"
30178,"North China"
30179,"North China"
30180,"North China"
30181,"North China"
30182,"North China"
30183,"North China"
30184,"North China"
30185,"North China"
30186,"North China"
30187,"North China"
30188,"North China"
30189,"North China"
30190,"North China"
30191,"North China"
30192,"North China"
30193,"North China"
30194,"North China"
30195,"North China"
30196,"North China"
30197,"North China"
30198,"North China"
30199,"North China"
30200,"North China"
30201,"North China"
30202,"North China"
30203,"North China"
30204,"North China"
30205,"North China"
30206,"North China"
30207,"North China"
30208,"North China"
30209,"North China"
30210,"North China"
30211,"North China"
30212,"North China"
30213,"North China"
30214,"North China"
30215,"North China"
30216,"North China"
30217,"North China"
30218,"North China"
30219,"North China"
30220,"North China"
30221,"North China"
30222,"North China"
30223,"North China"
30224,"North China"
30225,"North China"
30226,"North China"
30227,"North China"
30228,"North China"
30229,"North China"
30230,"North China"
30231,"North China"
30232,"North China"
30233,"North China"
30234,"North China"
30235,"North China"
30236,"North China"
30237,"North China"
30238,"North China"
30239,"North China"
30240,"North China"
30241,"North China"
30242,"North China"
30243,"North China"
30244,"North China"
30245,"North China"
30246,"North China"
30247,"North China"
30248,"North China"
30249,"North China"
30250,"North China"
30251,"North China"
30252,"North China"
30253,"North China"
30254,"North China"
30255,"North China"
30256,"North China"
30257,"North China"
30258,"North China"
30259,"North China"
30260,"North China"
30261,"North China"
30262,"North China"
30263,"North China"
30264,"North China"
30265,"North China"
30266,"North China"
30267,"North China"
30268,"North China"
30269,"North China"
30270,"North China"
30271,"North China"
30272,"North China"
30273,"North China"
30274,"North China"
30275,"North China"
