"zipcode","urbanity","region"
1210,2,"sud-ouest"
1100,2,"sud-est"
1250,3,"sud-ouest"
14430,3,"reste"
14450,3,"reste"
14121,3,"reste"
14600,2,"reste"
14510,2,"reste"
9300,3,"idf"
22700,2,"reste"
21310,3,"est"
27460,2,"reste"
24460,3,"sud-ouest"
76720,3,"reste"
76200,2,"reste"
80620,3,"nord"
77166,3,"idf"
83350,3,"sud-est"
82410,3,"sud-ouest"
95290,2,"idf"
97118,3,"outre-mer"
29880,3,"reste"
38121,3,"sud-est"
42150,1,"sud-est"
40465,3,"sud-ouest"
41160,3,"reste"
49290,3,"reste"
44570,1,"reste"
46240,3,"sud-ouest"
46260,3,"sud-ouest"
56610,1,"reste"
56130,3,"reste"
57655,3,"est"
57820,3,"est"
62111,3,"nord"
63110,1,"sud-est"
62350,3,"nord"
63350,3,"sud-est"
63230,3,"sud-est"
64250,3,"sud-ouest"
64780,3,"sud-ouest"
63200,2,"sud-est"
70270,3,"est"
67200,1,"est"
70320,3,"est"
74220,3,"sud-est"
7440,3,"sud-est"
6510,3,"sud-ouest"
8290,3,"sud-ouest"
9310,3,"idf"
13127,1,"sud-est"
17500,3,"sud-ouest"
27420,3,"reste"
25430,3,"est"
25490,1,"est"
25570,3,"est"
25190,3,"est"
20135,3,"reste"
30630,3,"sud-est"
30720,3,"sud-est"
31300,1,"sud-ouest"
32320,3,"sud-ouest"
42290,1,"sud-est"
42220,3,"sud-est"
39360,3,"est"
39220,3,"est"
54140,1,"est"
59213,3,"nord"
59330,2,"nord"
59145,2,"nord"
63720,3,"sud-est"
62112,2,"nord"
63770,3,"sud-est"
67110,2,"est"
67270,3,"est"
71160,3,"reste"
70150,3,"est"
72310,3,"reste"
5400,3,"est"
5340,3,"reste"
12640,3,"sud-ouest"
19130,3,"sud-ouest"
18140,3,"reste"
36700,3,"reste"
45400,1,"reste"
45510,3,"reste"
52000,2,"est"
72360,3,"reste"
79440,3,"sud-ouest"
85600,2,"reste"
85290,3,"reste"
84530,3,"sud-est"
83380,3,"sud-est"
85190,2,"reste"
83690,3,"sud-est"
83740,3,"sud-est"
91150,3,"idf"
58290,3,"reste"
77970,3,"idf"
95380,3,"idf"
90400,1,"est"
94360,1,"idf"
89290,3,"reste"
88110,3,"est"
60175,3,"nord"
77820,3,"idf"
78370,1,"idf"
3380,3,"sud-ouest"
3410,3,"sud-est"
26460,3,"sud-est"
37210,3,"reste"
49440,3,"reste"
87640,3,"sud-ouest"
93440,1,"idf"
89520,3,"reste"
6580,2,"sud-ouest"
3350,3,"sud-ouest"
11340,3,"sud-est"
16450,3,"sud-ouest"
21640,3,"est"
21370,3,"est"
60750,1,"nord"
60690,3,"nord"
62480,1,"nord"
67150,2,"est"
77240,2,"idf"
77165,3,"idf"
59299,3,"nord"
59650,1,"nord"
62217,1,"nord"
67290,3,"est"
66610,1,"sud-est"
71390,3,"reste"
68420,3,"est"
71360,3,"reste"
73220,3,"sud-est"
80420,2,"nord"
81250,3,"sud-ouest"
79250,3,"sud-ouest"
79370,3,"sud-ouest"
84210,3,"sud-est"
81660,3,"sud-ouest"
87440,3,"sud-ouest"
97232,1,"outre-mer"
14790,2,"reste"
14500,2,"reste"
23500,3,"sud-ouest"
30660,3,"sud-est"
30460,3,"sud-est"
33170,1,"sud-ouest"
33720,3,"sud-ouest"
34090,1,"sud-est"
38750,3,"sud-est"
40130,2,"sud-ouest"
89800,3,"reste"
97112,3,"outre-mer"
3400,2,"sud-est"
6340,2,"sud-est"
10250,3,"est"
21200,2,"est"
18240,3,"reste"
30770,3,"sud-est"
32270,3,"sud-ouest"
36400,3,"reste"
44110,2,"reste"
43390,3,"sud-est"
44140,3,"reste"
44170,3,"reste"
49750,3,"reste"
24370,3,"sud-ouest"
27330,3,"reste"
94190,1,"idf"
88480,3,"est"
33480,3,"sud-ouest"
33115,2,"sud-ouest"
42990,3,"sud-est"
63450,3,"sud-est"
69330,1,"sud-est"
55310,2,"est"
54890,3,"est"
62640,1,"nord"
62179,3,"nord"
65200,3,"sud-ouest"
65270,3,"sud-ouest"
71000,2,"reste"
68160,3,"est"
74250,2,"sud-est"
74500,3,"sud-est"
80570,3,"nord"
77860,2,"idf"
83250,2,"sud-est"
95240,1,"idf"
91840,3,"idf"
91820,3,"idf"
33600,1,"sud-ouest"
33420,3,"sud-ouest"
31000,1,"sud-ouest"
40290,3,"sud-ouest"
46100,3,"sud-ouest"
54360,3,"est"
67410,2,"est"
69470,3,"sud-est"
76770,1,"reste"
79110,3,"sud-ouest"
86130,3,"sud-ouest"
1090,3,"est"
10450,1,"est"
27320,3,"reste"
27580,3,"reste"
97650,3,"outre-mer"
92220,1,"idf"
93330,1,"idf"
87500,3,"sud-ouest"
4870,3,"sud-ouest"
2350,3,"sud-ouest"
2330,3,"sud-ouest"
